Dato;År;Kommune;Stedfesting;Art;Kjønn;Alder;Årsak;Utfall;Merkelappnummer;Fallvilt-ID;UTM33 øst;UTM33 nord;vegsystemreferanse.kortform;vegkategori;fase;vegnr;strekning;delstrekning;arm;adskilte_løp;trafikantgruppe;retning;meter;veglenkesekvensid;relativPosisjon;veglenkesekvens.kortform;geometri.wkt;geometri.srid;kommune (treff);avstand_vegnettet_m;Vegobjekt_540_id;ÅDT, total;Vegobjekt_105_id;Fartsgrense;Vegobjekt_540_lengde
19.01.2026;2026;5035 Stjørdal;Bjørkbakken;Rådyr;Ukjent;Voksent dyr;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1332292;303418,2245;7045220,229;FV6794 S1D1 m2294;F;V;6794;1;1;False;Nei;K;MED;2294.18;578258;0.33584969;0.33584969@578258;POINT Z (303416.841 7045220.314 72.158);5973;5035;1.386;1024047163;760;86974449;80;6829.105
19.01.2026;2026;5036 Frosta;Litjgjerdet;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332280;296470,109;7060086,386;FV753 S1D1 m8965;F;V;753;1;1;False;Nei;K;MED;8965.035;578649;0.90739518;0.90739518@578649;POINT Z (296470.155 7060086.085 11.132);5973;5036;0.304;1024046157;1700;551469925;80;8091.558
18.01.2026;2026;5055 Heim;Grønset;Hjort;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332254;192415,5112;7021912,768;EV39 S10D1 m212;E;V;39;10;1;False;Nei;K;MED;212.235;3491008;0.89589;0.89589@3491008;POINT Z (192414.457 7021915.736 15.247);5973;5055;3.15;;;1025846337;50;
18.01.2026;2026;5057 Ørland;Vikan;Rådyr;Hann;Kalv/årsunge;Påkjørt av motorkjøretøy;Avlivet etter ettersøk;;1332760;248949,6592;7091734,067;FV6344 S1D1 m1874;F;V;6344;1;1;False;Nei;K;MED;1873.513;72432;0.20532581;0.20532581@72432;POINT Z (248952.842 7091729.951 22.603);5973;5057;5.203;1024046916;829;177610115;60;2483.948
18.01.2026;2026;5055 Heim;Kloppin;Hjort;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1332253;199582,4979;7023953,922;FV680 S17D1 m7661;F;V;680;17;1;False;Nei;K;MOT;7660.687;72288;0.08378888;0.08378888@72288;POINT Z (199583.104 7023953.677 55.837);5973;5055;0.653;1024045894;1580;85310357;80;11332.075
18.01.2026;2026;5006 Steinkjer;7 langnesbakkin;Elg;Hunn;Ungdyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1333054;318272,3194;7111482,871;FV720 S12D1 m4870;F;V;720;12;1;False;Nei;K;MOT;4870.249;2797857;0.54894232;0.54894232@2797857;POINT Z (318272.097 7111483.322 28.942);5973;5006;0.503;1024045934;1300;1007910708;80;6477.329
18.01.2026;2026;5059 Orkland;vollan gård;Hjort;Hunn;Kalv/årsunge;Påkjørt av motorkjøretøy;Avlivet etter ettersøk;;1332205;238170,0698;7018228,335;PV97629 S1D1 m386;P;V;97629;1;1;False;Nei;K;MED;386.211;60865;0.63959772;0.63959772@60865;POINT Z (238247.54 7018133.58 58.69);5973;5059;122.393;;;85306692;50;
18.01.2026;2026;5001 Trondheim;kjyvanet ;Rådyr;Hann;Ungdyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332164;267741,5818;7039317,039;;;;;;;;;;;;3821231;0.70610037;0.70610037@3821231;POINT Z (267738.14 7039319.87 182.93);5973;5001;4.457;324914522;2500;78697179;50;197.073
17.01.2026;2026;5053 Inderøy;utøyveien 755,7670 inderøy;Elg;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1332142;310354,3121;7087041,751;FV755 S2D1 m5470;F;V;755;2;1;False;Nei;K;MED;5469.578;578145;0.58901849;0.58901849@578145;POINT Z (310354.15 7087042.07 89.761);5973;5053;0.358;1024046117;1600;86975663;60;6830.061
17.01.2026;2026;5054 Indre Fosen;Tegelverksveien;Elg;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1332170;251183,2807;7052706,628;KV201 S1D1 m282;K;V;201;1;1;False;Nei;G;MED;281.683;1965853;0.42966916;0.42966916@1965853;POINT Z (251181.217 7052704.83 27.407);5973;5054;2.737;1013400500;50;80513252;30;371.497
17.01.2026;2026;5035 Stjørdal;Sorte grendehus;Rådyr;Hunn;Kalv/årsunge;Påkjørt av motorkjøretøy;Dødt på stedet;;1332148;299716,7538;7040934,12;KV8120 S1D1 m900;K;V;8120;1;1;False;Nei;K;MED;899.853;553712;0.19007984;0.19007984@553712;POINT Z (299718.457 7040936.162 49.121);5973;5035;2.659;;;78706024;50;
16.01.2026;2026;5006 Steinkjer;7  vadanesset;Rådyr;Hunn;Ungdyr;Påkjørt av motorkjøretøy;Avlivet etter ettersøk;;1333056;314619,1805;7104292,574;KV3002 S1D1 m716;K;V;3002;1;1;False;Nei;K;MED;716.02;554925;0.99156196;0.99156196@554925;POINT Z (314612.199 7104422.1 63.885);5973;5006;129.714;;;81497297;50;
16.01.2026;2026;5006 Steinkjer;4 - Saursaunmyra ;Elg;Hann;Kalv/årsunge;Påkjørt av motorkjøretøy;Avlivet etter ettersøk;;1332930;330317,8288;7111058,325;EV6 S91D1 m2252;E;V;6;91;1;False;Nei;K;MED;2251.591;578603;0.72655145;0.72655145@578603;POINT Z (330315.344 7111059.185 44.383);5973;5006;2.63;1022805399;3700;86975742;80;4381.18
16.01.2026;2026;5057 Ørland;Vanntanken prestdalsveien;Elg;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1332763;245068,1631;7082242,381;FV6358 S1D1 m1563;F;V;6358;1;1;False;Nei;K;MED;1563.051;72441;0.39460541;0.39460541@72441;POINT Z (245067.999 7082242.52 82.332);5973;5057;0.216;1024045717;189;85310183;50;2724.427
16.01.2026;2026;5059 Orkland;Løkken, Meldal.;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1332098;233208,2339;7011050,985;FV700 S1D1 m5645;F;V;700;1;1;False;Nei;K;MED;5644.927;72292;0.57071501;0.57071501@72292;POINT Z (233212.058 7011050.348 166.39);5973;5059;3.877;1024046077;1930;85312343;50;1336.948
