Vegobjekt_540_id,Vegnamn,Art,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens,årsrisiko,samanlikning_yrke
1026879599.0,FV766,Elg,650,17819,7145227,317115,3,7.096295727716553e-05,0.010644443591574829,Kontoryrke
1026880248.0,FV17,Rådyr,2390,6616,7126234,316394,4,6.930646201669745e-05,0.010395969302504617,Kontoryrke
1026879599.0,FV766,Rådyr,650,17819,7145099,316509,6,0.00014192591455433105,0.021288887183149658,1-2x høgare risiko enn høyrisikoyrke
1026880535.0,FV769,Rådyr,411,27521,7182082,333111,8,0.0001937720305704008,0.02906580458556012,1-2x høgare risiko enn høyrisikoyrke
1026879926.0,FV769,Elg,2600,2200,7157528,330534,4,0.0001915892326851231,0.028738384902768466,1-2x høgare risiko enn høyrisikoyrke
1026880762.0,FV17,Elg,2300,16255,7142967,323646,4,2.9312463347970635e-05,0.004396869502195595,Leiarar
1026879934.0,FV769,Elg,931,14631,7163613,332634,3,6.033991568299304e-05,0.009050987352448955,Kontoryrke
1026879210.0,FV769,Rådyr,2350,1726,7155245,330950,4,0.00027018328220677597,0.04052749233101639,1-2x høgare risiko enn høyrisikoyrke
1026880248.0,FV17,Elg,2390,6616,7125271,316380,4,6.930646201669745e-05,0.010395969302504617,Kontoryrke
1026957497.0,EV39,Hjort,1700,13680,7019481,177590,11,0.00012958800439185527,0.01943820065877829,"Bønder, fiskarar mv."
1026880009.0,FV680,Rådyr,1530,13301,7035371,201216,10,0.00013462676536666417,0.020194014804999626,"Prosess- og maskinoperatørar, transportarbeidarar mv."
1026957280.0,EV39,Rådyr,1700,13411,7021918,192017,6,7.210216444088286e-05,0.01081532466613243,Kontoryrke
1026880325.0,FV6430,Rådyr,569,9828,7034638,204517,4,0.00019597005416876857,0.029395508125315287,1-2x høgare risiko enn høyrisikoyrke
1026880009.0,FV680,Hjort,1530,13301,7038286,200276,7,9.423873575666492e-05,0.014135810363499738,Sals- og serviceyrke
1026957540.0,EV39,Elg,2510,21968,7023092,207082,3,1.4906104065514672e-05,0.0022359156098272007,lågare risiko enn dei fleste yrke
1026957870.0,EV39,Hjort,2140,5925,7011486,161039,8,0.00017286019337653757,0.025929029006480635,1-2x høgare risiko enn høyrisikoyrke
1026880453.0,FV680,Rådyr,1550,11332,7028683,201005,9,0.00014038198562207703,0.021057297843311555,1-2x høgare risiko enn høyrisikoyrke
1026880325.0,FV6430,Hjort,569,9828,7037233,206223,8,0.00039194010833753715,0.05879101625063057,>2x høgare risiko enn høgrisikoyrke
1026957540.0,EV39,Hjort,2510,21968,7022746,202559,4,1.987480542068623e-05,0.0029812208131029345,lågare risiko enn dei fleste yrke
1026957280.0,EV39,Hjort,1700,13411,7021739,190796,9,0.00010815324666132429,0.016222986999198642,"Renhaldarar, hjelpearbeidarar mv."
1026880847.0,FV6432,Hjort,338,29036,7037436,214841,5,0.00013958014716057747,0.020937022074086622,1-2x høgare risiko enn høyrisikoyrke
1026880009.0,FV680,Elg,1530,13301,7033390,201428,3,4.0388029609999254e-05,0.006058204441499888,Høgskuleyrke
1026880117.0,FV713,Hjort,750,7280,7064984,193095,3,0.0001505343971097396,0.02258015956646094,1-2x høgare risiko enn høyrisikoyrke
1026880725.0,FV714,Rådyr,500,10604,7070426,202486,11,0.0005684078895015062,0.08526118342522594,>2x høgare risiko enn høgrisikoyrke
1026880756.0,FV713,Hjort,600,60514,7055939,196735,8,6.036566805251149e-05,0.009054850207876724,Kontoryrke
1026879862.0,FV6440,Rådyr,950,4754,7059796,210292,9,0.0005459675895439927,0.0818951384315989,>2x høgare risiko enn høgrisikoyrke
1026880756.0,FV713,Rådyr,600,60514,7055888,172721,5,3.772854253281968e-05,0.005659281379922953,Høgskuleyrke
1026880208.0,FV714,Rådyr,4330,7883,7065807,201186,4,3.210611108240067e-05,0.004815916662360101,Leiarar
1026879937.0,FV714,Rådyr,2100,7341,7054602,212428,6,0.00010663109453353028,0.015994664180029542,"Renhaldarar, hjelpearbeidarar mv."
1026880270.0,FV714,Hjort,2500,6262,7060219,204776,3,5.250193600889033e-05,0.00787529040133355,Kontoryrke
1026880745.0,FV6456,Rådyr,120,19039,7069119,190356,3,0.0003597518287984217,0.053962774319763256,>2x høgare risiko enn høgrisikoyrke
1026880357.0,FV714,Rådyr,2080,5404,7069896,195233,6,0.00014624455677759673,0.02193668351663951,1-2x høgare risiko enn høyrisikoyrke
1026880746.0,FV6442,Rådyr,200,15254,7062970,207351,5,0.00044901763920893867,0.0673526458813408,>2x høgare risiko enn høgrisikoyrke
1026879448.0,FV6440,Rådyr,1500,2674,7058030,207755,3,0.00020491593323838895,0.030737389985758343,1-2x høgare risiko enn høyrisikoyrke
1026880527.0,FV714,Hjort,1700,8830,7053174,215893,3,5.4754367345225376e-05,0.008213155101783807,Kontoryrke
1026879639.0,FV6450,Rådyr,220,9746,7071431,206098,4,0.0005111143084150626,0.07666714626225939,>2x høgare risiko enn høgrisikoyrke
1026880745.0,FV6456,Hjort,120,19039,7069404,188606,7,0.0008394209338629839,0.1259131400794476,>5x høgare risiko enn høgrisikoyrke
1026880208.0,FV714,Hjort,4330,7883,7063485,202251,6,4.8159166623601e-05,0.00722387499354015,Kontoryrke
1026880290.0,FV714,Rådyr,2200,1560,7072338,194442,3,0.00023948654085640387,0.03592298112846058,1-2x høgare risiko enn høyrisikoyrke
1026879665.0,FV6454,Rådyr,300,3914,7073022,191150,3,0.0006999811005102862,0.10499716507654293,>5x høgare risiko enn høgrisikoyrke
1026880752.0,FV6356,Rådyr,400,16391,7083060,238256,6,0.0002507222891279294,0.037608343369189404,1-2x høgare risiko enn høyrisikoyrke
