Vegobjekt_540_id,Art,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens,årsrisiko,samanlikning_yrke
1022805676.0,Elg,1820,11103,7171010,387194,3,4.067397922446354e-05,0.006101096883669531,Høgskuleyrke
1024046117.0,Rådyr,1600,6830,7086313,308828,3,7.521209811668906e-05,0.011281814717503358,Kontoryrke
1024045820.0,Rådyr,550,7275,7078219,308072,5,0.0003423587663101856,0.05135381494652785,>2x høgare risiko enn høgrisikoyrke
1022805916.0,Rådyr,1660,9285,7021896,191910,6,0.00010665184916975535,0.015997777375463304,"Renhaldarar, hjelpearbeidarar mv."
1024045981.0,Rådyr,766,8393,6992754,234810,4,0.00017045947013517482,0.025568920520276223,1-2x høgare risiko enn høyrisikoyrke
1024045906.0,Rådyr,400,16391,7083291,236422,7,0.0002925093373159176,0.043876400597387635,>2x høgare risiko enn høgrisikoyrke
1024046063.0,Rådyr,2300,4075,7021386,303441,3,8.769461810820785e-05,0.013154192716231177,Sals- og serviceyrke
1022805870.0,Elg,2500,7382,7164504,382280,4,5.938176163418608e-05,0.00890726424512791,Kontoryrke
1022805828.0,Hjort,3400,5232,7040628,311759,4,6.160564011956422e-05,0.009240846017934633,Kontoryrke
1024046392.0,Elg,4130,3702,7079168,239631,3,5.375785408967982e-05,0.008063678113451973,Kontoryrke
1024045598.0,Rådyr,2600,2200,7156230,330738,4,0.0001915892326851231,0.028738384902768466,1-2x høgare risiko enn høyrisikoyrke
1024046686.0,Rådyr,500,4230,7025353,250150,3,0.0003886136209074128,0.058292043136111915,>2x høgare risiko enn høgrisikoyrke
1024046392.0,Rådyr,4130,3702,7078932,239225,15,0.0002687892704483991,0.04031839056725987,1-2x høgare risiko enn høyrisikoyrke
1024045683.0,Rådyr,435,9478,7156573,303448,11,0.0007309604165331418,0.10964406247997126,>5x høgare risiko enn høgrisikoyrke
1024046693.0,Rådyr,718,9919,7102587,269962,5,0.00019234672907635835,0.02885200936145375,1-2x høgare risiko enn høyrisikoyrke
1024045881.0,Rådyr,1200,11864,7153593,359329,3,5.773192067172245e-05,0.008659788100758367,Kontoryrke
1022805388.0,Rådyr,2600,31163,7122488,352494,14,4.733937976688534e-05,0.007100906965032801,Kontoryrke
1024045668.0,Rådyr,2100,5019,7091795,318732,3,7.798155658205278e-05,0.011697233487307918,Kontoryrke
1024045527.0,Rådyr,1970,8511,7033478,243108,4,6.536124412056205e-05,0.009804186618084307,Kontoryrke
1024046396.0,Rådyr,1380,12040,6979648,306289,6,9.893565027434856e-05,0.014840347541152283,"Renhaldarar, hjelpearbeidarar mv."
1024046741.0,Rådyr,621,4229,7024995,272718,5,0.000521612336907927,0.07824185053618905,>2x høgare risiko enn høgrisikoyrke
1024046742.0,Rådyr,649,3554,7075988,241934,3,0.0003563413902082066,0.05345120853123099,>2x høgare risiko enn høgrisikoyrke
1024045886.0,Rådyr,1300,6690,7051289,254286,5,0.000157509832551297,0.02362647488269455,1-2x høgare risiko enn høyrisikoyrke
1024045960.0,Rådyr,500,2354,7062042,293215,4,0.0009310878597781683,0.13966317896672525,>5x høgare risiko enn høgrisikoyrke
1024045895.0,Hjort,1490,19621,7043516,246951,7,6.559908313473485e-05,0.009839862470210228,Kontoryrke
1024046316.0,Rådyr,1900,2416,7033420,265404,3,0.00017905145700138943,0.026857718550208413,1-2x høgare risiko enn høyrisikoyrke
1024045877.0,Rådyr,1800,5465,7034506,260531,10,0.0002785123541117475,0.041776853116762123,>2x høgare risiko enn høgrisikoyrke
1024045530.0,Rådyr,1300,30272,6986471,294018,6,4.177090828890765e-05,0.006265636243336148,Høgskuleyrke
1022805706.0,Hjort,2450,21968,7022798,201656,6,3.054230302403415e-05,0.004581345453605122,Leiarar
1024046188.0,Rådyr,1000,2156,7061487,253170,3,0.00038122347319998986,0.05718352097999848,>2x høgare risiko enn høgrisikoyrke
1024046401.0,Rådyr,2800,2723,7112631,322527,3,0.0001078009821388146,0.01617014732082219,"Renhaldarar, hjelpearbeidarar mv."
1024045895.0,Rådyr,1490,19621,7045766,246163,5,4.685648795338203e-05,0.007028473193007305,Kontoryrke
1024045831.0,Elg,612,24096,6945301,330939,4,7.431401917919987e-05,0.01114710287687998,Kontoryrke
1024046005.0,Rådyr,700,16632,7010099,308107,3,7.05969394814796e-05,0.010589540922221941,Kontoryrke
1024046982.0,Rådyr,5440,3137,7024576,237765,3,4.816315983207882e-05,0.007224473974811823,Kontoryrke
1024046048.0,Rådyr,2400,6122,7038157,258477,3,5.5940175338885585e-05,0.008391026300832837,Kontoryrke
