Vegobjekt_540_id,Art,"ÅDT, total",Vegobjekt_540_lengde,antall_kollisjoner,frekvens
1024046252.0,Rådyr,700.0,10831.326,6,0.0005203364842598213
1024046443.0,Rådyr,950.0,972.576,1,0.0005200208008320333
1024046078.0,Rådyr,1500.0,2347.609,2,0.0005197505197505198
1024046255.0,Rådyr,1200.0,738.823,1,0.0005157297576070139
1024045829.0,Rådyr,1800.0,2081.892,2,0.0005151983513652757
1024046133.0,Rådyr,2100.0,1802.69,2,0.0005124263387138099
1024046227.0,Rådyr,160.0,3749.339,2,0.0005116398055768739
1024047006.0,Rådyr,500.0,1461.186,1,0.0005099439061703213
1024046637.0,Rådyr,2500.0,1435.066,2,0.0005082592121982211
1024045803.0,Rådyr,1560.0,2374.964,2,0.0005082592121982211
1024046370.0,Rådyr,1430.0,2522.47,2,0.0005060728744939271
1024047168.0,Rådyr,200.0,9745.732,5,0.0005027146591594611
1024046363.0,Hjort,700.0,7279.836,4,0.0005012531328320802
1024046653.0,Rådyr,280.0,3714.52,2,0.0005006257822277847
1024047020.0,Rådyr,100.0,1898.353,1,0.0005005005005005005
1024045675.0,Rådyr,200.0,1798.327,1,0.0005005005005005005
1024046391.0,Rådyr,1100.0,2911.81,2,0.0004985044865403788
1024046378.0,Rådyr,479.0,7560.084,4,0.0004975743251648215
1024046163.0,Rådyr,900.0,1118.148,1,0.0004955401387512388
1024045736.0,Rådyr,905.0,1115.062,1,0.0004950495049504951
1024045834.0,Hjort,2300.0,7883.065,5,0.0004910144358244132
1024537870.0,Rådyr,2000.0,4155.208,3,0.00048740861088545896
1024045588.0,Rådyr,997.0,1058.0,1,0.00048661800486618007
1022805904.0,Rådyr,8480.0,3884.691,6,0.00048524059846340476
1024046612.0,Rådyr,1800.0,2344.601,2,0.0004825090470446321
1024046671.0,Rådyr,655.0,3496.146,2,0.000481811611659841
1024045930.0,Rådyr,1000.0,3213.166,2,0.00047472110135295516
1024046790.0,Rådyr,300.0,3913.985,2,0.00047460844803037496
1024046117.0,Rådyr,1600.0,6830.061,4,0.00047449584816132857
1024046283.0,Hjort,2200.0,6262.404,4,0.0004727014890096904
1024046508.0,Rådyr,302.0,1822.213,1,0.00047080979284369113
1024046221.0,Rådyr,300.0,6115.128,3,0.0004676539360872954
1024045807.0,Elg,1600.0,11320.552,6,0.0004643603436266543
1024046089.0,Rådyr,1700.0,2609.554,2,0.0004640371229698376
1024046481.0,Rådyr,750.0,1407.0,1,0.0004636068613815484
1022805828.0,Hjort,3400.0,5231.93,4,0.0004633920296570899
1024046745.0,Rådyr,200.0,1972.857,1,0.0004601932811780948
1024045884.0,Hjort,1600.0,2750.33,2,0.0004597701149425287
1024045563.0,Rådyr,450.0,3903.472,2,0.00045945325063174823
1024045735.0,Elg,1470.0,5062.181,3,0.00045927740355174526
1024046892.0,Elg,1000.0,1185.514,1,0.0004574565416285453
1024045940.0,Rådyr,300.0,1900.675,1,0.00045433893684688776
1024046977.0,Rådyr,800.0,3628.924,2,0.0004515692029803567
1024046396.0,Rådyr,1380.0,12039.816,6,0.00044709388971684054
1024045937.0,Elg,1160.0,3331.647,2,0.0004452359750667854
1024045937.0,Rådyr,1160.0,3331.647,2,0.0004452359750667854
1024046590.0,Rådyr,2300.0,2192.889,2,0.0004451368795904741
1013854002.0,Rådyr,800.0,1466.819,1,0.0004411116012351125
1022805378.0,Rådyr,2000.0,268.645,1,0.00044072278536800354
1024046769.0,Rådyr,80.0,2197.052,1,0.0004391743522178305
1024045760.0,Rådyr,653.0,1630.422,1,0.0004380201489268506
1024046372.0,Rådyr,1380.0,904.518,1,0.000437636761487965
1024045796.0,Rådyr,1100.0,1187.0,1,0.00043725404459991256
1024046038.0,Elg,727.0,3855.589,2,0.0004363953742090334
1022805618.0,Rådyr,9000.0,2597.605,5,0.0004311088118641145
1024046666.0,Rådyr,280.0,4362.852,2,0.0004307559767391773
1024047178.0,Rådyr,1300.0,1028.515,1,0.00042936882782310007
1024045902.0,Rådyr,450.0,4213.701,2,0.0004288164665523156
1024047050.0,Rådyr,200.0,2131.725,1,0.0004288164665523156
1024046529.0,Rådyr,572.0,1767.43,1,0.00042753313381787086
1024045895.0,Hjort,1490.0,19621.303,9,0.0004263180332528066
1024046670.0,Rådyr,355.0,18427.044,8,0.00042593972952827174
1024045837.0,Rådyr,925.0,3809.148,2,0.0004224757076468103
1024046545.0,Elg,1200.0,1170.003,1,0.0004219409282700422
1024045668.0,Rådyr,2100.0,5018.742,3,0.00042140750105351877
1024045853.0,Elg,2500.0,2264.283,2,0.00041981528127623844
1022805621.0,Elg,4980.0,4610.356,4,0.0004171011470281543
1022805448.0,Rådyr,5460.0,4149.945,4,0.0004162330905306972
1024046385.0,Rådyr,1700.0,3122.634,2,0.00041467965996267884
