Dato;År;Kommune;Stedfesting;Art;Kjønn;Alder;Årsak;Utfall;Merkelappnummer;Fallvilt-ID;UTM33 øst;UTM33 nord;vegsystemreferanse.kortform;vegkategori;fase;vegnr;strekning;delstrekning;arm;adskilte_løp;trafikantgruppe;retning;meter;veglenkesekvensid;relativPosisjon;veglenkesekvens.kortform;geometri.wkt;geometri.srid;kommune (treff);avstand_vegnettet_m;Vegobjekt_540_id;ÅDT, total;Vegobjekt_105_id;Fartsgrense;Vegobjekt_540_lengde;snow_depth;max_temperature;min_temperature;mean_temperature;total_precipitation;max_wind_speed;mean_wind_speed;max_wind_gust;precipitation_type;weather_station_id;Måned;monthly_snow_depth;monthly_mean_temperature;monthly_mean_wind_speed
2025-01-08;2025;5060 Nærøysund;Krekling;Elg;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1307259;353365,3486;7203912,167;FV770 S2D1 m5686;F;V;770.0;2.0;1.0;False;Nei;K;MED;5685.925;578210.0;0.58360122;0.58360122@578210;POINT Z (353364.735 7203915.471 27.35);5973.0;5060.0;3.361;1024045639.0;770.0;86975610.0;80.0;24848.722;;;;;;;;;;;1;;-2.29;4.5
2025-01-08;2025;5028 Melhus;Bjørsetveien. Korsvegen;Rådyr;Hann;Ungdyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1306790;254740,503;7014389,527;FV708 S2D105 m3;F;V;708.0;2.0;105.0;False;Nei;G;MED;3.309;2735221.0;0.00322566;0.00322566@2735221;POINT Z (254739.208 7014388.482 179.456);5973.0;5028.0;1.664;;;;;;;;;;;;;;;;1;60.285714285714285;5.766666666666666;
2025-01-08;2025;5007 Namsos;altvatne;Elg;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1306848;315189,4395;7144171,623;PV98436 S1D1 m33;P;V;98436.0;1.0;1.0;False;Nei;K;MED;32.738;569565.0;0.16774967;0.16774967@569565;POINT Z (315174.808 7144164.945 72.221);5973.0;5007.0;16.084;;;78704484.0;50.0;;34.0;;;;0 mm;;;;;SN75020;1;23.727272727272727;-3.02;
2025-01-08;2025;5060 Nærøysund;Fikkan;Oter;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Dødt på stedet;;1306810;326003,1738;7193431,695;FV769 S9D1 m7489;F;V;769.0;9.0;1.0;False;Nei;K;MED;7488.928;578204.0;0.65399671;0.65399671@578204;POINT Z (326001.373 7193428.939 6.045);5973.0;5060.0;3.292;1024046194.0;800.0;264597622.0;60.0;2089.863;;;;-4.1;;;;;;SN75190;1;;-2.29;4.5
2025-01-08;2025;5007 Namsos;kattamyra;Elg;Ukjent;Voksent dyr;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1306753;329846,3319;7170716,661;FV769 S4D1 m1413;F;V;769.0;4.0;1.0;False;Nei;K;MED;1413.256;578201.0;0.03771933;0.03771933@578201;POINT Z (329842.763 7170712.347 72.159);5973.0;5007.0;5.599;1024046468.0;411.0;264308751.0;80.0;27522.008;;;;-4.1;;;;;;SN75190;1;23.727272727272727;-3.02;
2025-01-08;2025;5007 Namsos;andsjarde;Elg;Ukjent;Voksent dyr;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1306851;319052,6118;7139722,757;FV17 S6D1 m3362;F;V;17.0;6.0;1.0;False;Nei;K;MED;3361.824;578628.0;0.3630157;0.3630157@578628;POINT Z (319052.031 7139723.665 19.986);5973.0;5007.0;1.078;1024045641.0;2260.0;749129868.0;80.0;16254.967;34.0;;;;0 mm;;;;;SN75020;1;23.727272727272727;-3.02;
2025-01-08;2025;5032 Selbu;Flora;Elg;Ukjent;Voksent dyr;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1306797;313731,3499;7003295,975;FV705 S7D1 m3268;F;V;705.0;7.0;1.0;False;Nei;K;MED;3267.934;72305.0;0.373617;0.373617@72305;POINT Z (313728.381 7003305.153 221.088);5973.0;5032.0;9.646;1024046005.0;700.0;85310942.0;60.0;16631.599;34.97;-6 degC;-15.3 degC;-8.0;0 mm;3.3 m/s;1.3;5.8 m/s;;SN68290;1;29.2825;-7.800000000000001;3.1750000000000003
2025-01-08;2025;5007 Namsos;Salsnes;Elg;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1306756;329873,6227;7178354,811;FV769 S5D1 m5;F;V;769.0;5.0;1.0;False;Nei;K;MED;5.035;578675.0;0.0090142;0.0090142@578675;POINT Z (329873.754 7178354.708 3.955);5973.0;5007.0;0.167;1024046468.0;411.0;264308752.0;60.0;27522.008;;;;-4.1;;;;;;SN75190;1;23.727272727272727;-3.02;
2025-01-08;2025;5026 Holtålen;Eidet;Elg;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1306718;307378,7892;6975194,27;FV30 S8D1 m3324;F;V;30.0;8.0;1.0;False;Nei;K;MED;3324.069;72276.0;0.69354931;0.69354931@72276;POINT Z (307386.76 6975200.492 335.056);5973.0;5026.0;10.111;1024046396.0;1380.0;85311065.0;80.0;12039.816;34.97;-6 degC;-15.3 degC;-8.0;0 mm;3.3 m/s;1.3;5.8 m/s;;SN68290;1;34.97;-9.6;1.3
2025-01-09;2025;5057 Ørland;Brekstad ;Rødrev;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1307887;236708,7643;7075016,804;FV710 S8D120 m255;F;V;710.0;8.0;120.0;False;Nei;G;MED;255.28;1671283.0;0.28638921;0.28638921@1671283;POINT Z (236702.201 7075019.288 3.364);5973.0;5057.0;7.018;;;;;;20.0;-2 degC;-7.7 degC;-5.9;0 mm;7.6 m/s;3.0;8.7 m/s;;SN71550;1;15.833333333333334;-0.5888888888888889;7.088888888888889
